,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018,3/29/2019,6/28/2019,9/30/2019,12/31/2019
KRO UN Equity,2.5,2.333,2.333,2.333,2.333,3,3,3,3,3,3,3
KRTX UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5
KRUS UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5
KRYS UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5,5,4.75,4.714
KSS UN Equity,3,3.042,3.091,3.217,3.682,3.55,3.591,3.65,3.75,3.75,3.789,3.444
KSU UN Equity,3.609,3.727,3.8,3.8,3.737,3.947,4,4.2,4.2,4.2,4.222,4.158
KTB UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.5,3.444,3.6
KTOS UW Equity,4.667,4.667,4.429,4.111,4.111,4.111,4.111,4.4,4.455,4.2,4.455,4.6
KURA UW Equity,4.75,4.75,4.8,4.833,4.833,4.833,4.857,4.875,4.875,4.875,4.889,4.889
KVHI UW Equity,4.333,4.333,4.333,4.333,4.333,4.333,5,5,5,5,5,5
KW UN Equity,4.6,4,4,4,4.2,4.2,4,4.2,4.2,4.4,4.75,4.75
KWR UN Equity,3.167,3,3,3,3,3,3,3,3,3.4,3.4,3.4
KZR UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5
L UN Equity,3.5,3.5,3.5,3.5,3.5,3.667,3.667,3.667,3,3,3,3
LAD UN Equity,4.385,4.143,4.231,4.273,4.6,4.4,4.455,4.667,4.538,4.571,4.077,4.077
LADR UN Equity,4.375,4.375,4.5,4.5,4.857,4.857,4.857,4.571,4.167,4.167,4.167,4.286
LAMR UW Equity,3.667,3.75,3.5,3.25,3,3,3.333,3,3,3,3,2.714
LANC UW Equity,3.444,3.75,3.75,3.571,3.571,3.333,3,3,3,3,3,3
LAND UQ Equity,4.667,4.6,4.6,4.2,4.2,4.5,4.5,4.5,4.25,4.25,4.25,4.286
LASR UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,4.429,3.889,3.8,4,4.111,4.2
LAUR UW Equity,4.538,4.538,4.538,4.538,4.636,4.636,4.8,4.8,4.8,4.8,4.75,4.75
LAWS UW Equity,3,4,4,4,4,4,4,4,4,4,4,4
LAZ UN Equity,4.214,4.308,4.25,3.818,4.182,4.667,4.444,4.222,3.9,3.5,3.556,3.3
LB UN Equity,3.438,3.414,3.452,3.483,3.5,3.357,3.214,3.4,3.467,3.467,3.345,3.143
LBAI UW Equity,4.2,3.8,3.8,3.8,3.8,3.8,3.667,4,4,4.333,4.429,4.429
LBC UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3,3,3,3,3,3.5,3.5,3
LBRDA UW Equity,5,5,5,5,5,5,5,5,5,5,5,4.714
LBRDK UW Equity,4.333,4.333,4.5,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.6,4.6
LBRT UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.778,4.556,4.6,4.455,4.286,4.375,4.375,4.412
LC UN Equity,3.4,3.412,3.529,3.938,3.765,3.765,3.563,3.571,3.571,3.714,3.769,3.667
LCI UN Equity,4.167,4,4,4,3.875,3.857,3,3,3,3,3,3
LCII UN Equity,4.8,4.833,4.833,4.833,4.286,4.571,4.571,4.571,4.857,4.375,4.286,4
LCNB UR Equity,3,3,3,3,3,3,3,3,3,3,3,3
LCTX UA Equity,5,5,5,5,5,5,5,5,5,4.714,4.714,4.6
LCUT UW Equity,3,5,5,5,5,5,5,5,5,5,5,3
LDL UN Equity,4,4,5,5,5,4.667,4.667,4,4,4.5,4.5,3.5
LDOS UN Equity,4.455,4.455,4.6,4.818,4.818,4.636,4.636,4.636,4.636,4.4,4,4
LE UR Equity,3,3,3,3,3,3,3,3,3,4,4,4
LEA UN Equity,3.556,3.632,3.421,3.316,3.556,3.625,3.933,4.2,4.333,4.182,3.632,3.632
LEAF UN Equity,4.6,4.5,5,5,5,5,5,5,5,5,4.333,4.333
LECO UW Equity,3.308,3.286,3.571,3.533,3.933,4,3.929,4,3.923,3.769,3.5,3
LEE UN Equity,5,5,5,5,5,5,5,5,5,5,5,5
LEG UN Equity,3.6,3.625,4.143,3.875,4.125,4,4.286,4.286,4,4.167,4,3
LEGH UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5
LEN UN Equity,4.056,3.905,3.714,4,4.636,4.619,4.6,4.684,4.7,4.737,4.65,4.55
LEN/B UN Equity,#N/A N/A,,,,,,,,,,,
LEVL UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.333,4.333,4.333,4.333,4,4,4.333
LFUS UW Equity,3.75,3.75,3.75,3.5,3.5,3.5,3.5,3.5,4,3.8,3.667,3.6
LFVN UR Equity,#N/A N/A,,,,,,,,,,,
LGF/A UN Equity,4.733,4.6,4.6,4.538,4.333,4.333,4.385,4.692,4.692,4.6,4.6,4.455
LGF/B UN Equity,4.8,5,4.846,4.818,4.167,4.167,4.385,4.5,4.4,4.25,4.5,4.556
LGIH UW Equity,3.5,3.833,3.833,3.5,3.833,3.5,3.833,3.833,4.167,4.286,3.5,3.5
LGND UQ Equity,4.5,4.5,4.5,4.167,4.167,4.833,4.286,4.571,4.833,4.5,4.833,4.833
LH UN Equity,4.304,4.217,4.2,4.238,4.391,4.4,4.4,4.2,4.091,4.091,4.1,4.158
LHCG UW Equity,4.778,4.778,4.778,4.778,4.778,4.8,4.818,4.5,4.5,4.455,4.5,4.818
LHX UN Equity,5,4.8,5,5,4.833,4.846,4.714,4.846,4.857,4.857,4.882,4.895
LII UN Equity,3.375,3.375,3.353,3.5,3.588,3.533,3.267,3.235,3.105,2.684,2.579,2.579
LILA UW Equity,#N/A N/A,#N/A N/A,3,2.2,3.3,3.5,3.5,3.7,3.667,3.667,3.857,4.111
LILAK UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,4,4.333,4.25,4.25,4.25,4.25,4.25,4.25,4
LIN UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3,3,3.636,3.533,3.467,3.533,3.727
LIND UR Equity,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.2,4.667
LITE UW Equity,3.933,4.059,4.176,4.25,4.75,4.733,4.75,4.733,5,5,5,4.813
LIVN UW Equity,3.667,3.667,3.889,4,3.857,3.889,4.25,4.111,4.111,4.333,4.111,4.111
LIVX UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4,4.5,4.5,4.75,4.833,4.857,4.571,4.889
LJPC UR Equity,5,5,5,4.333,3.667,3.667,3.667,3.667,4.6,4.6,4.6,4.2
LKFN UW Equity,3,3.4,3.4,3.4,3.4,3.333,3.333,3.333,3.333,3.333,3.333,3
LKQ UW Equity,4.733,4.733,4.6,4.533,4.733,4.882,4.889,4.889,4.875,4.875,4.688,4.6
LL UN Equity,2.846,3,3,3,3.154,3.154,3.154,3.154,3,3.167,3.167,3
LLNW UW Equity,4,4,4,4,4,4.167,4.286,4.286,4.571,4.571,4.286,4.333
LLY UN Equity,4.538,4.28,4.2,3.96,4,4,3.778,3.8,3.667,3.7,3.737,3.947
LM UN Equity,4,3.909,3.667,3.615,3.308,3.462,3.462,3.462,3.462,3.462,3.462,3.333
LMAT UQ Equity,4.429,4.25,4,3.333,3.333,3.75,3.571,3.571,3.286,3.286,3.571,3.857
LMNR UW Equity,5,5,5,5,5,5,5,5,5,4.6,4.667,4.667
LMNX UW Equity,3,3,3,2.667,3,3.286,3.286,3.286,3.333,3,2.667,2.667
LMT UN Equity,3.87,3.917,4,3.833,3.75,3.75,4.083,4.273,4.208,4.208,4.125,4.125
LNC UN Equity,3.714,3.923,3.909,3.667,3.714,3.933,4.067,4.2,4.2,4.333,4.333,4.429
LNDC UW Equity,4.6,4.5,4.5,5,5,5,5,5,5,4.5,4.667,4.667
LNG UA Equity,4.692,4.571,4.571,4.5,4.667,4.529,4.75,4.789,4.8,4.9,4.714,4.818
LNN UN Equity,3,3,3,3,3.286,3.286,3.286,3,3,2.667,2.667,2.667
LNT UW Equity,3.545,3.545,3.545,3.222,3.2,3.222,3,2.6,3.167,3.333,3.333,3.727
LNTH UQ Equity,3.667,3.667,4,4.333,4.333,4,4,4,4,4,4.25,3.667
LOB UW Equity,4.333,4,5,4.333,5,5,4,4,4,4,4,5
LOCO UW Equity,3.667,3.667,3.667,3.667,3.667,3.667,3.8,3.8,3.8,3.8,3.8,3.8
LOGC UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5
LOGM UW Equity,4.25,4.417,4.545,4.727,4.8,4.833,4.091,4.111,3.545,3.2,3.2,3.2
LOPE UW Equity,5,5,5,5,5,5,5,5,5,5,5,5
LORL UW Equity,#N/A N/A,,,,,,,,,,,
LOVE UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,4.667
LOW UN Equity,4.063,4.161,4.067,4.088,4.485,4.559,4.618,4.5,4.394,4.375,4.375,4.438
LPG UN Equity,3.667,4,4.111,3.889,4.111,4.25,4.429,4.429,4.714,4.429,4.714,5
LPI UN Equity,3.769,3.923,3.833,3.667,3.5,3.364,3.375,3.118,2.765,3.267,3.533,3.4
LPLA UW Equity,3,3.6,3.8,3.909,4.091,3.909,4,4,4,3.8,3.833,3.833
LPSN UW Equity,4.143,4.667,4.714,4.75,4.75,4.75,4.75,4.778,5,5,5,4.875
LPX UN Equity,3.364,2.818,2.636,2.833,3.154,3.308,3.5,3.727,3.545,4,4.167,4
LQDA UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5
LQDT UW Equity,3,3,3,3,3.667,3.667,4,4,4,4,4,4
LRCX UW Equity,4.6,4.7,4.619,4.684,4.773,4.783,4.435,4.333,4.217,4.13,4.083,4
LRN UN Equity,5,5,5,5,5,5,5,5,4.5,4.5,5,5
LSCC UW Equity,3,3,3,3.5,3.5,3.8,3.8,4.2,4.571,4.571,4.571,4.625
LSI UN Equity,3.429,3,2.571,2.571,2.667,2.818,2.818,2.636,2.4,2.8,3.182,3.545
LSTR UW Equity,3.125,3.133,3.267,3.25,3.2,3.188,3.25,3,2.875,3,3,2.867
LSXMA UW Equity,4.636,4.6,4.6,4.6,5,4.833,4.833,4.818,4.818,4.778,4.778,4.833
LSXMK UW Equity,4,4,4.333,4,4,4.333,5,5,5,5,5,5
LTC UN Equity,3.182,3.364,3.182,3.182,3.182,3,3,2.75,2.778,2.6,2.636,2.111
LTHM UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.733,4.611,4,3.882,3.692
LTRPA UW Equity,3,3,3,3,3,2,2,2.333,2.333,3,3,3
LULU UW Equity,3.722,3.629,3.75,4,4.121,3.917,3.974,4.139,4.083,4.114,4.147,4.147
LUV UN Equity,4.263,4.3,4.524,4.619,4.524,4.429,4.4,4.304,3.917,3.75,3.917,3.522
LVGO UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5
LVS UN Equity,3.955,4,4.056,4.278,4.095,4.05,3.9,4.143,4.048,4.048,4.158,4.158
LW UN Equity,4.429,4.111,4.111,4.111,4.25,3.857,3.857,3.857,4.429,4.667,4.714,4.25
LXFR UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,4.5,4.5,4.5,3.5,3.5,4
LXP UN Equity,2.556,2.778,2.8,2.6,2.6,2.4,2.6,2.8,3,3.667,3.5,3.5
LXRX UW Equity,4.333,4.333,4.25,4.25,3.5,3.5,3.5,3.75,3.571,3.571,3.667,3
LXU UN Equity,5,5,5,5,5,5,5,5,5,5,5,5
LYB UN Equity,3.583,3.48,3.48,3.48,3.25,3.273,3.3,3.636,3.727,4,3.783,3.87
LYFT UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.8,4.029,4.189,4.263
LYV UN Equity,4.778,4.636,4.667,4.333,4.385,4.846,4.846,4.833,4.667,4.333,4.286,4.375
LZB UN Equity,4,4,3.5,3.5,3.5,3.5,3,3.5,3.5,3,3.5,3.5
M UN Equity,3.444,3.583,3.5,3.333,3.381,3.316,3.2,3.1,3,2.882,2.647,2.412
MA UN Equity,4.447,4.375,4.525,4.595,4.78,4.698,4.756,4.674,4.681,4.705,4.698,4.775
MAA UN Equity,4.35,4.316,4.316,3.947,4,4,3.875,3.778,4.059,4,3.824,3.778
MAC UN Equity,3.381,3.211,3.5,3.4,3.3,3.444,3.667,3.421,3.211,3.211,3.105,3.111
MAN UN Equity,3.933,3.933,3.857,3.857,3.857,4,4.077,3.714,3.571,3.4,3.167,3.143
MANH UW Equity,3.667,3,3,3.4,3.4,3.8,3.4,3.4,3.5,4,4.2,4.2
MANT UW Equity,2.778,3.222,3.5,3.5,3.5,3.5,3.75,3.75,3.75,3.571,3.286,3
MAR UW Equity,3.893,3.857,3.889,3.84,3.875,3.92,3.96,3.923,3.846,3.833,3.64,3.538
MAS UN Equity,4.455,4.5,4.5,4.333,4.25,4.304,4.304,4.478,4.545,4.714,4.333,4.556
MASI UW Equity,3.571,3.667,4.143,4.143,4.143,3.667,3.857,4.25,4.25,4.25,4.25,4.25
MAT UW Equity,4.143,3.857,3.667,3.625,3.375,3.25,3.353,3.353,3.375,3.375,3.375,3.375
MATW UW Equity,3.5,3.5,4,4,4.333,4.333,4.333,4.5,4.25,4.25,4.25,4.667
MATX UN Equity,4,4,3.667,3.667,4.333,4.333,4.333,3.8,4.2,4.2,4.5,4.333
MAXR UN Equity,4.273,4.455,4.636,4.455,4.6,4.636,4.636,4.2,2.5,2.5,2.778,2.875
MBI UN Equity,4,4.333,4.333,4.333,4,4,4,4,4,4.333,4.333,4.333
MBII UR Equity,3.667,3.667,3.667,3.667,4,4,4,4,4.333,4.333,4.5,4.5
MBIN UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,4.5,4.5,4.5,4.5,4.5,5
MBIO UQ Equity,#N/A N/A,#N/A N/A,5,5,5,5,5,5,5,5,5,5
MBUU UQ Equity,4.714,4.333,4.667,4.714,4.714,4.429,5,5,5,5,4.667,4.667
MBWM UW Equity,3,3,3,3,3.333,3.333,3.333,3.333,3.333,3.333,3.333,3.4
MC UN Equity,4,4,4,4,4,3.778,3.875,4.375,4.444,4,4.125,4.125
MCB UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,4.333,4.333,4.333,4.333,4.333,4.333,4.333,5,5
MCBC UW Equity,3,3,3,3,3,3,3,3,3,3,3,3
MCBS UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5
MCD UN Equity,3.824,4.2,4.257,4.333,4.314,4.294,4.314,4.529,4.563,4.529,4.486,4.444
MCFT UQ Equity,4.714,4.667,4.333,4.429,4.429,4.429,4.429,4.429,4.429,4.333,4,4
MCHP UW Equity,4.235,4.278,4.353,4.316,4.833,4.842,4.55,4.571,4.476,4.5,4.5,4.591
MCHX UW Equity,3,3,3,3,3,4,4,4,5,5,5,5
MCK UN Equity,3.375,3.526,3.375,3.625,3.9,3.8,3.7,3.632,3.778,3.667,3.571,3.571
MCO UN Equity,3.286,3.308,3.333,3.571,3.8,3.8,3.714,3.75,3.5,3.471,3.588,3.625
MCRB UW Equity,4.5,4.5,4.333,4.714,4.5,4.429,4,4.143,4.714,4.5,4.5,4.429
MCRI UW Equity,3.857,3.857,3.8,4.2,3.667,3.8,4.2,4.2,4,3.5,3.5,3.5
MCS UN Equity,5,5,5,5,5,5,4.333,4.333,4.333,5,5,4.333
MCY UN Equity,2.333,2,2,2,2,2,3,3,3,3,3,2.333
MD UN Equity,3.286,3.143,3.308,3.429,3.267,3.286,3.571,3.4,3.5,3.4,3.143,3.308
MDB UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,4,4,4.091,4.077,4,4.063,4,4,4.063
MDC UN Equity,2.636,2.273,2.455,2.333,3,2.8,3.2,3.4,3.4,3.4,3.667,3.667
MDCA UW Equity,4.143,4.333,4.333,4.333,4.2,4.6,4.6,4,3,3,3,3
MDGL UR Equity,4,4,4.5,4.75,4.833,4.375,4.222,4.182,4.154,4.214,4.214,4.154
MDLA UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.692,4.692
MDLZ UW Equity,4.333,4.5,4.583,4.583,4.6,4.583,4.565,4.545,4.455,4.5,4.636,4.583
MDP UN Equity,3,3.667,3.667,4,3.857,4.143,4,3.4,3.667,3.571,3.571,3.571
MDRX UW Equity,3.833,3.72,4.091,4,4.04,4.167,4.167,3.87,3.636,3.545,3.545,3.545
MDT UN Equity,4.154,4.071,4.071,4.037,4.185,4.071,4,4.2,4.313,4.4,4.429,4.385
MDU UN Equity,3.25,3.25,3.286,3.286,3.286,3.667,3.667,3.8,3.4,3.4,3.4,3.4
MEC UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.6,4.6,4.6
MED UN Equity,4,3,4,4,5,4,4,5,5,5,5,4
MEDP UW Equity,4.333,4,3.571,3.286,3.286,3.286,3.5,3.857,3.857,4.143,4.143,4.143
MEET UR Equity,4.8,4.75,4.75,4,4,4,4.5,5,5,5,5,4.6
MEI UN Equity,4.5,4.333,4.333,4.333,4.333,4.333,4.333,4.333,5,5,5,5
MEIP UR Equity,3,3.667,3.667,3.667,3.667,4.5,5,5,5,5,5,5
MESA UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5
MET UN Equity,3.947,4,4.125,3.941,4,3.947,3.947,4.053,4.158,4.053,3.947,4.059
METC UW Equity,5,5,5,5,5,5,5,5,5,5,4.714,4.6
MFA UN Equity,3.375,3.625,3.714,3.571,3.667,3.667,3.333,3.5,3.2,3.4,3.4,3.857
MFIN UW Equity,3,3,3,3,4,4,4.333,4.333,4.5,4.5,4.5,4.5
MFNC UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5,5
MFSF UQ Equity,2.5,2.5,3,3,3,3,3,3,3,3,3,3
MG UN Equity,3.333,3.333,3.333,3,3,3,3,3,3,3,3,3.4
MGEE UW Equity,3,3,3,3,3,3,3,3,3,3,3,3
MGLN UW Equity,3,3,4,4,4.333,5,5,4,4,4,4.333,4.333
MGM UN Equity,4.833,4.864,4.632,4.444,4.429,4.45,4.4,4.333,4.333,4.3,4.05,4.05
MGNX UW Equity,4.667,4.636,4.6,4.6,4.636,4.667,4.667,4.333,4.5,4.692,4.667,4.538
MGPI UW Equity,5,4.333,4.333,4,4.5,4.333,5,5,5,5,5,5
MGRC UW Equity,3.667,3.667,3.667,3.667,4,4,4.333,4.333,4.333,4.333,4.5,4.5
MGTA UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,4.6,4.6,4.6,4.667
MGTX UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5
MGY UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,4.6,4.667,4.75,4.786,4.714
MHK UN Equity,4.529,4.579,4.5,4.545,4.636,4.619,4.619,3.762,3.476,3.6,3.667,3.444
MHO UN Equity,3.667,3.667,4,4,4.5,4.5,4.5,4.5,3,3,3,3
MIC UN Equity,5,5,4.75,4.75,3.286,3.667,3.857,3.857,3.571,3,3,2.6
MIDD UW Equity,4,3.889,4.091,3.909,3.7,3.4,3.7,4,4.222,4.1,4.1,4.111
MIK UW Equity,4.067,4,4.143,3.769,4,4,4,3.923,3.769,3.333,3.182,2.818
MINI UW Equity,4,4,4,3.667,4,4.2,4.667,4.333,4.333,4.2,4.333,4.333
MIRM UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5
MITK UR Equity,5,5,5,5,5,5,4.667,5,5,5,5,4.5
MITT UN Equity,3,3,3,3,3,3,3,3,3,3,3,3
MJCO UQ Equity,5,5,5,5,5,5,5,5,5,5,5,5
MKC UN Equity,3.267,3.4,3.533,3.533,3.4,3.429,3.267,3,3.154,3,2.818,2.636
MKL UN Equity,3.4,3.4,3.4,3.4,3.8,3.667,3.333,3.333,3.333,3,3.286,3.571
MKSI UW Equity,4.333,4.333,4.429,5,5,5,5,5,5,4.875,5,5
MKTX UW Equity,3.75,4,4,3.857,3.571,3.333,3,2.75,2.8,2.667,2.692,2.846
MLAB UW Equity,4,4,4,4,4,4,4,4,4,4,4.333,4.5
MLHR UW Equity,3.667,4,4,4.5,4.5,4.5,4.5,4.5,4.5,4,3.667,4
MLI UN Equity,#N/A N/A,5,5,5,5,4,4,4,4,4,3,3
MLM UN Equity,4.071,4.071,4.214,4.357,4.267,4.357,4.357,4.063,4.167,4.222,4.125,3.9
MLND UR Equity,3,3,3,3,3,4,5,5,5,5,5,5
MLP UN Equity,#N/A N/A,,,,,,,,,,,
MLR UN Equity,#N/A N/A,,,,,,,,,,,
MLVF UQ Equity,5,4,4,4,5,4,4,5,5,3,3,3
MMAC UR Equity,#N/A N/A,,,,,,,,,,,
MMC UN Equity,4.3,4.263,4.263,4,4.053,4.053,3.588,3.588,3.556,3.111,3.118,3.444
MMI UN Equity,3,3,3,3.5,3.75,3.75,3.5,3.5,3.5,3.5,3.5,3
MMM UN Equity,3.476,3.421,3.222,3.235,3.235,3,3.1,3.286,3.273,3.091,2.905,2.714
MMS UN Equity,4.3,3.5,3.3,3.3,3.333,3.625,3.714,3.714,3.714,3.714,3.429,3.429
MMSI UW Equity,4.6,4.75,4.778,4.75,4.556,4.6,4.2,4.2,4.2,4.111,3.889,3.667
MNK UN Equity,4.882,4.875,4.647,3.625,3.526,3.3,3.105,3.222,3.4,3.125,2.846,2.846
MNKD UQ Equity,1.5,1,3,4,3,5,5,5,5,5,5,5
MNLO UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.75,4,4.4,4.4,4.4,4.4,4.4,4.5
MNOV UQ Equity,5,5,5,5,5,5,5,5,5,5,5,5
MNR UN Equity,4.2,5,4.6,4.6,4.2,4.333,4.333,4.667,4.143,4,4.143,3.857
MNRL UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5
MNRO UW Equity,3.818,3.545,3.6,3.4,3.444,3.444,3.667,3.5,3.571,3.286,3,3.25
MNSB UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5,5
MNST UW Equity,4.4,4.474,4.474,4.35,4.421,4.316,4.35,3.95,4,3.8,3.842,3.824
MNTA UW Equity,3.222,3,3.286,3,3.286,3.333,3.333,3.857,3.667,3.571,3.75,4
MO UN Equity,3.588,3.667,3.842,4.111,4.263,4.368,4.158,3.842,3.6,3.6,3.778,3.889
MOBL UW Equity,3.571,3.75,3.857,3,3.667,3.4,3.4,3.4,3.4,3.4,3.667,3.667
MOD UN Equity,5,5,5,5,5,5,5,5,5,5,4.5,3
MODN UN Equity,3.4,4.333,4.333,4,4.167,4.167,4.286,4.125,4.222,4.222,4.286,4.571
MOFG UW Equity,4.5,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.5
MOG/A UN Equity,3,3,2.5,2.5,2.5,3.5,3.5,4.5,4.5,4.5,4,4
MOH UN Equity,3,2.733,3.333,3.462,3.571,3.714,3.667,3.667,3.706,3.875,3.875,3.75
MORF UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5
MORN UW Equity,3,3,3,3,3,3,3,3,3,3,3,3
MOS UN Equity,2.474,2.579,2.895,2.895,3.5,3.579,3.789,3.895,3.85,4.15,4.286,4.095
MOV UN Equity,3.667,3.667,3.667,3.667,3.667,3,4,5,5,5,3,3
MPAA UW Equity,5,5,5,5,5,4.5,4.5,3.667,4,4.333,4.5,4.5
MPB UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3,3,3
MPC UN Equity,4.714,4.818,4.619,4.524,4.478,4.765,4.778,5,5,4.9,4.905,4.789
MPW UN Equity,3.133,3.267,3.357,3.5,3.214,3.214,3.071,3.385,3.538,3.636,4.462,4.583
MPWR UW Equity,4.75,4.714,4.714,4.75,4.714,5,4.8,4.8,4.8,4.333,4.167,4.231
MPX UN Equity,3,3,3,3,4,4,4,4,4,4,3,3
MR UN Equity,3.611,3.529,3.467,3.615,3.727,3.667,3.8,3.4,3.444,3.444,3.444,4.111
MRC UN Equity,4.333,4.214,4.214,4.214,4.214,4.083,4.154,4.214,4.214,4.071,3.846,3.917
MRCY UW Equity,4.556,4.556,4.556,4.556,4.556,4.111,4.111,4.2,4.2,4.333,4.4,4.4
MRK UN Equity,4.217,4.13,4.13,4.167,4.304,4.545,4.5,4.556,4.579,4.778,4.789,4.684
MRKR UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4,5,5,5,5,5,5,5
MRLN UW Equity,3.5,3.5,3.5,4,3.5,3.5,3.5,3.5,3.5,3.5,4,4
MRNA UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5
MRNS UQ Equity,4,4,4,4.5,4.667,4.8,4.833,4.833,4.625,4.625,4.875,4.875
MRO UN Equity,3.871,3.697,3.7,4.033,4.138,4.107,4.138,4.433,4.387,4.414,4.25,4.138
MRSN UW Equity,#N/A N/A,#N/A N/A,5,5,4.6,4.667,4.333,4.667,4.333,4.333,4.333,4.333
MRTN UW Equity,3.5,3.5,3.5,3.5,4.333,3.5,3.5,3.5,3.5,3.5,4,3.667
MRTX UW Equity,4,4,4.2,4.714,4.714,4.75,4.556,4.8,4.571,4.333,4.333,4.429
MRVL UW Equity,3.667,3.852,3.731,4.318,4.375,4.5,4.444,4.741,4.654,4.519,4.519,4.536
MS UN Equity,3.903,3.9,3.968,4.161,4.161,4.167,4.258,4.345,4.345,4.345,4.393,4.286
MSA UN Equity,4.2,4.2,4.333,3.5,4,4.333,4.333,3.667,3.5,3.5,3.5,3.5
MSBI UW Equity,5,5,5,5,5,5,5,5,5,5,5,5
