,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018,3/29/2019,6/28/2019,9/30/2019,12/31/2019
RPT UN Equity,3.545,3.364,3.182,3,2.8,3,3,2.75,2.75,2.75,2.556,2.778
RRBI UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4,4,4
RRC UN Equity,4.342,4.486,4.343,4.343,3.886,3.861,3.833,3.806,3.548,3.548,3.448,3.25
RRD UN Equity,4.2,4.5,4,4.5,4,3.5,4.5,4.5,4.5,4.5,4.5,4.5
RRGB UW Equity,3.6,4,4.333,4.2,4.2,4.2,3.8,3.545,3.364,3.364,3.182,3.182
RRR UW Equity,4.692,4.667,4.8,4.6,4.273,4.091,4.091,3.909,3.909,4.333,4.455,4.273
RRTS UN Equity,3,3,3,3,3,3,3,3,3,3,3,3
RS UN Equity,4.111,4.111,4.2,4.111,4.2,4.111,3.8,3.6,3.545,3.364,3.545,3.182
RSG UN Equity,3.429,3.714,3.714,3.571,3.923,4,4,3.667,3.462,3.5,3.462,3.714
RST UN Equity,5,5,5,5,5,5,5,5,5,5,5,5
RTIX UW Equity,3.25,3.25,3.25,3.25,4,4,4,4.5,4.5,4.667,4.75,4.75
RTN UN Equity,4.524,4.524,4.714,4.524,4.429,4.429,4.333,4.4,4.476,4.167,4.056,4.167
RTRX UQ Equity,4.667,4.75,4.75,4.75,4.75,4.75,4.8,4.857,4.857,4.875,4.875,4.875
RTW UN Equity,3,3,3,3,3,5,5,5,3,3,3,3
RUBI UN Equity,2.833,2.8,2.714,3,4.333,4.333,5,5,5,5,5,5
RUBY UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,4.429,4.429
RUN UW Equity,4.6,4.5,4.5,4.714,4.667,4.222,4.222,4.222,4.125,4.444,4.5,4.5
RUSHA UW Equity,3.286,3.5,3.444,3.5,4,4.333,4.25,4.5,4.25,4.25,4.333,4
RUSHB UW Equity,#N/A N/A,,,,,,,,,,,
RUTH UW Equity,4.2,3.8,3.8,3.8,3.8,4,3.5,3.5,3.5,3.4,3.4,3.4
RVI UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4,4.333,4.333,4.333,5,3,3
RVNC UQ Equity,5,5,4.833,4.889,4.727,4.9,4.778,4.8,4.6,4.636,4.636,4.833
RVSB UW Equity,5,5,5,5,5,5,5,5,5,5,5,5
RWT UN Equity,3.8,3.5,3.5,4.333,4.333,4.333,4,4.5,4.833,4.833,4.8,4.8
RXN UN Equity,3.909,3.909,4,4,4.5,4.8,4.8,4.5,4.455,4.4,3.727,4.091
RYAM UN Equity,3.667,4.5,5,5,4.6,5,5,5,5,4.714,4.2,3.8
RYI UN Equity,4,4,4,3.667,3.667,3.4,3,3.4,3.4,3,3,3
RYN UN Equity,3.25,3.25,3,3,3,3,2.75,2.75,3,2.8,2.8,3
RYTM UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,4.5,4.5,5,4.6,4.6,4.667,4.667,5,5
S UN Equity,2.607,2.7,2.7,2.5,2.433,2.773,2.773,2.762,2.773,2.762,2.95,3.056
SABR UW Equity,4.846,4.692,4.385,4.231,4.077,4.143,4.385,4.091,3.727,4,3.889,4.111
SAFE UN Equity,#N/A N/A,#N/A N/A,3.333,3.333,3.333,3.333,3.333,3,3.8,3.667,3,3.333
SAFM UW Equity,3.182,2.818,2.636,2.385,2.571,2.455,2.636,2.4,2.8,3,3.25,3.6
SAFT UW Equity,3,3,3,1,3,3,3,3,3,3,3,3
SAGE UQ Equity,4.667,4.692,4.846,5,5,5,5,4.765,4.765,4.7,4.7,4.4
SAH UN Equity,3,3,3,2.75,3,3,2.429,2.714,2.25,2.5,2.25,2.714
SAIA UW Equity,3.75,3.75,3.75,3.5,3.667,3.667,3.6,3.727,3.909,3.833,4,3.8
SAIC UN Equity,4,4,3.75,4.5,4.5,3.889,4,4,4.333,4.333,4.636,4.636
SAIL UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,4.429,4.5,4.6,4.333,4.5,4.538,4.385,4.167,4.333
SALT UN Equity,4.231,4.286,4.286,4.357,4.4,4.769,4.769,4.533,4.563,4.692,4.714,4.231
SAM UN Equity,2.6,2.7,2.364,2.5,2.667,2.833,2.833,2.714,2.846,2.692,3,3.769
SAMG UQ Equity,5,5,5,5,5,5,5,5,5,5,5,5
SANM UW Equity,3.667,3.857,3.857,3.571,3.667,4,4,3.667,3.8,3.5,3.5,3.5
SASR UW Equity,3,3,3,3,3.8,4.333,4.333,5,4.333,4.333,4.667,4.6
SATS UW Equity,5,5,4.6,4.6,4.5,4.333,4.333,4.333,4.333,4.333,4.25,3.75
SAVE UN Equity,4.077,4.231,3.857,3.8,4.067,4.25,4.467,4.294,4.667,4.444,3.588,3.625
SB UN Equity,3.25,3.25,3.444,3.444,3.25,3.25,3.5,4,4.111,4,4,3.4
SBAC UW Equity,4.238,4.333,4.4,4.429,4.429,4.429,4.429,4.333,4.222,3.941,3.5,3.5
SBBP UW Equity,4.75,4.75,4.75,4.8,4.8,4.833,4.833,4.857,4.857,4.857,4.889,4.857
SBBX UQ Equity,5,5,5,5,3.667,3.667,4.333,4.5,4.5,4.5,4.5,4.6
SBCF UW Equity,4.111,4.25,4.143,4.143,4.714,4.143,4.143,4.429,3.571,3.857,3.857,3.571
SBGI UW Equity,4.714,5,5,5,4.556,4.556,4,3.6,3.6,5,3.889,3.909
SBH UN Equity,3.5,3.357,3.286,3.143,3,2.667,2.455,2.273,2.273,2.2,2.333,2.111
SBNY UW Equity,4.333,4.444,4.474,4.421,4.368,4.579,4.474,4.684,4.579,4.444,4.529,4.647
SBOW UN Equity,#N/A N/A,5,4.5,5,5,5,4.333,4.333,4.333,4.333,4.333,4.333
SBRA UW Equity,3.308,3.167,3.417,3.25,3.583,3.75,3.692,3.1,2.75,2.917,2.923,3.071
SBSI UW Equity,3,3,3,3,3,3,3,3,3,3,3,3
SBT UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5,5,5,4
SBUX UW Equity,4.543,4.543,4.429,4.444,4.294,4.059,4,4.086,3.938,3.8,3.686,3.788
SC UN Equity,3.476,3.545,3.889,3.842,3.762,3.952,3.857,3.857,3.947,3.75,3.45,3.278
SCCO UN Equity,2.391,2.636,2.5,2.5,2.368,2.176,2.25,2.353,3,3.111,3.105,3.111
SCHL UW Equity,4,4,4,4,4,4,4,3,3,3,3,3
SCHN UW Equity,3,2.333,2.5,2.5,3,3,2.6,3,2.333,2.6,2.6,2
SCHW UN Equity,4.55,4.611,4.35,4.381,4.143,4.143,3.9,4.238,4.333,4.238,4.143,4.053
SCI UN Equity,4.667,4.714,5,5,5,5,5,5,5,5,5,5
SCL UN Equity,3.333,3.333,3,3,3,3,3,3.5,3.5,3.5,3.667,4
SCOR UW Equity,3,3,3,3,3,3.667,3.667,4.2,4.429,3.571,3.8,3.8
SCS UN Equity,4,4,4,4,4,3.5,3.5,4,4,4.333,3.667,3
SCSC UW Equity,4.5,4.5,4.5,4,4.5,5,5,5,5,4.333,4.333,4.333
SCU UN Equity,3,3,3,3,3.333,3.333,3.5,3.667,3.667,3.667,3.667,4
SCVL UW Equity,3.167,3.75,4.25,3.6,4,4,3.5,4,4.25,4.75,4.75,4.75
SCWX UW Equity,3.833,3.833,3.833,3.5,3.308,3.462,3.308,2.692,2.692,2.455,2.4,2.273
SD UN Equity,4,4,4,4,3,3,3,3,3,3,3,3
SDRL UN Equity,#N/A N/A,#N/A N/A,5,5,5,5,5,5,4.692,4.538,3.909,3.8
SEAS UN Equity,3.4,3.333,3.429,3.429,3.462,3.308,3.308,3.333,3.833,4,4,3.909
SEB UA Equity,#N/A N/A,,,,,,,,,,,
SEE UN Equity,4.25,4,4,4.059,4.059,4.176,4.176,4.412,4,3.824,3.706,4
